org_nummer,name,municipality_name
716458-6047,HSB Bostadsrättsförening Skäret i Gävle,Gävle
785000-0410,Bostadsrättsföreningen Engelbrektsgårdarna,Gävle
785000-3323,Bostadsrättsföreningen Hammarsmeden,Gävle
716413-3683,Riksbyggen Bostadsrättsförening Topasen,Gävle
769628-9656,Bostadsrättsföreningen Bålverket i Strömsbro,Gävle
769631-4751,Bostadsrättsföreningen Stuveriet,Gävle
785000-1764,Bostadsrättsföreningen Luthergården,Gävle
716413-4251,Riksbyggen Bostadsrättsförening Gävlehus nr 20,Gävle
769630-8563,Bostadsrättsföreningen Skomakargatan 22,Gävle
785000-2085,Riksbyggen Bostadsrättsförening Gävlehus nr 3,Gävle
785000-3281,HSB bostadsrättsförening Pernau i Gävle,Gävle
785000-0303,Bostadsrättsföreningen Forsbackahus nr 1,Gävle
785000-0188,Bostadsrättsföreningen Borggården,Gävle
769635-8394,Bostadsrättsföreningen BoKlok Svärdet,Gävle
716413-6702,Riksbyggen Bostadsrättsföreningen Furuvikshus nr 1,Gävle
769628-1968,Bostadsrättsföreningen Takterrassen i Gävle,Gävle
785000-3273,Bostadsrättsföreningen Bäckhagen,Gävle
785000-0428,Bostadsrättsföreningen Falken i Gävle,Gävle
716413-3634,HSB Bostadsrättsförening Stigs Gård i Gävle,Gävle
785000-3463,Bostadsrättsföreningen Vesslan,Gävle
769638-2311,Bostadsrättsföreningen Islandsplan i Gävle,Gävle
785000-1087,HSB Bostadsrättsförening Stralsund i Gävle,Gävle
785000-2812,Bostadsrättsföreningen Åkaren,Gävle
716413-4863,HSB bostadsrättsförening Herrgårdshagen i Gävle,Gävle
716413-5100,HSB Bostadsrättsförening Bogården i Gävle,Gävle
716413-4921,Riksbyggen Bostadsrättsförening Dalapalatset,Gävle
785000-1582,Bostadsrättsföreningen Krönet,Gävle
769635-8352,Bostadsrättsföreningen Boklok Skölden i Hemlingby,Gävle
716413-4590,Riksbyggen Bostadsrättsförening Stenbär,Gävle
769639-0009,Bostadsrättsföreningen Bygdekikaren i Gävle,Gävle
785000-1632,Bostadsrättsföreningen Kålhagen,Gävle
769610-0341,Bostadsrättsföreningen Villa Martin,Gävle
769619-1258,Bostadsrättsföreningen Drejargatan 4,Gävle
785000-2127,HSB Bostadsrättsförening Gävlehus 11 i Gävle,Gävle
785000-0352,Bostadsrättsföreningen Dammen,Gävle
785000-0261,Bostadsrättsföreningen VITTERHETEN i Gävle,Gävle
785000-0279,Bostadsrättsföreningen Forsbackahus nr 2,Gävle
769639-3805,Bostadsrättsföreningen Växthuset i Strömsbro,Gävle
769610-0523,Bostadsrättsföreningen Engelbrekt,Gävle
716413-5480,Riksbyggen Bostadsrättsförening Gävlehus 36,Gävle
