fastighetsbeteckning,municipality_name,brf_org_nummer
ALDERHOLMEN 5:19,Gävle,716458-6047
VÄSTER 10:6,Gävle,785000-0410
BRYNÄS 68:15,Gävle,785000-3323
BJÖRSJÖ 26:1,Gävle,716413-3683
STRÖMSBRO 52:6,Gävle,769628-9656
ALDERHOLMEN 5:25,Gävle,769631-4751
SÖDER 45:4,Gävle,785000-1764
BJÖRSJÖ 28:1,Gävle,716413-4251
VÄSTER 19:6,Gävle,769630-8563
SÖDER 48:5,Gävle,785000-2085
SÖDERTULL 41:11,Gävle,785000-3281
FORSBACKA 3:2,Gävle,785000-0303
VÄSTER 17:6,Gävle,785000-0188
HEMLINGBY 73:1,Gävle,769635-8394
FURUVIK 33:2,Gävle,716413-6702
SÖDER 75:5,Gävle,785000-2085
SÖDER 66:10,Gävle,769628-1968
SÄTRA 80:2,Gävle,785000-3273
SÖRBY 10:13,Gävle,785000-0428
STIGSLUND 36:1,Gävle,716413-3634
SÄTRA 30:1,Gävle,785000-3463
BRYNÄS 11:6,Gävle,769638-2311
SÖDER 12:3,Gävle,785000-1087
SÖDER 52:5,Gävle,785000-2812
BRYNÄS 83:4,Gävle,716413-4863
NORRTULL 25:12,Gävle,716413-5100
BRYNÄS 6:2,Gävle,716413-4921
STIGSLUND 43:3,Gävle,785000-1582
HEMLINGBY 73:2,Gävle,769635-8352
SÄTRA 161:1,Gävle,716413-4590
BRYNÄS 51:9,Gävle,769639-0009
SÖDER 50:6,Gävle,785000-1632
VALLBACKEN 6:1,Gävle,769610-0341
OLSBACKA 44:2,Gävle,769619-1258
SÄTRA 19:6,Gävle,785000-2127
VÄSTER 24:19,Gävle,785000-0352
NORRTULL 26:8,Gävle,785000-0261
FORSBACKA 3:3,Gävle,785000-0279
FREDRIKSSKANS 2:86,Gävle,769639-3805
VÄSTER 10:5,Gävle,785000-0410
VÄSTER 17:1,Gävle,769610-0523
SÄTRA 168:1,Gävle,716413-5480
SÄTRA 19:5,Gävle,785000-2127
VALLBACKEN 18:8,Gävle,769623-5675
SÄTRA 173:2,Gävle,716458-5635
VÄSTER 11:20,Gävle,785000-1574
SÄTRA 164:1,Gävle,716413-4913
VILLASTADEN 27:11,Gävle,769627-6141
SÄTRA 79:1,Gävle,785000-3141
SÖDERTULL 22:6,Gävle,716413-6314
NORRTULL 30:9,Gävle,785000-1194
STIGSLUND 56:1,Gävle,716413-3634
VÄSTER 18:7,Gävle,785000-2705
STIGSLUND 51:2,Gävle,785000-2028
SÖDER 42:2,Gävle,785000-3356
STIGSLUND 51:4,Gävle,785000-0311
STIGSLUND 43:5,Gävle,785000-2614
HEMLINGBY 74:1,Gävle,769636-5688
OLSBACKA 51:3,Gävle,769623-4025
NORRTULL 21:9,Gävle,785000-1152
SÖDER 41:3,Gävle,785000-3356
SÄTRA 19:3,Gävle,785000-2127
SÄTRA 172:1,Gävle,716413-6512
SÖDERTULL 25:2,Gävle,769630-8704
NORRTULL 27:20,Gävle,785000-1442
