source_row_hash,kontraktsdatum,publiceringsdatum,tilltradesdatum,municipality_name,brf_org_nummer,fastighetsbeteckning,adress,slutpris,utgangspris,pris_idag,kr_per_kvm,budpremie_kr,budpremie_pct,rum,boa_kvm,vaning,vaningar,hiss,balkong,varme_gemensam,bostadstyp,byggar,nyprod,manadsavg,arsavg_per_kvm,annonstid_dagar,source_name
dd2a2277e391f2b5a52d0ec1cc75d1599edc9721,2023-05-24,2023-05-05,2023-07-23,Gävle,716458-6047,ALDERHOLMEN 5:19,Stuvaregatan 42,2150000,2150000,2147402,33594,0,0.0,2.0,64.0,1,5,True,False,False,lagenhet,2014,False,3938,738,19,VD Pro
0a0e13ca254307453a4433e4aaf640c346e53e1d,2023-05-24,2023-04-28,2023-08-27,Gävle,785000-0410,VÄSTER 10:6,Klintbergsgatan 10,1915000,1750000,1912686,28162,165000,9.42,3.0,68.0,1,2,False,True,False,lagenhet,1946,False,3408,601,26,VD Pro
f7b60436dd4d34fd7e16903d9b1a94e68b313f9a,2023-05-23,2023-03-13,2023-07-02,Gävle,785000-3323,BRYNÄS 68:15,Hillmanskroken 3D,1225000,1225000,1253861,20248,0,0.0,2.0,60.5,1,3,False,False,False,lagenhet,1972,False,3075,610,70,VD Pro
2af375d2efdbd4e8ac4e6c240289e22016719e1c,2023-05-23,2023-05-23,2023-07-24,Gävle,716413-3683,BJÖRSJÖ 26:1,Topasvägen 3 K,1285000,,1265550,17365,,,3.0,74.0,,,False,True,False,lagenhet,1981,False,4277,694,0,VD Pro
d46d502db7931be6a674e9cf44af7c38d805542e,2023-05-22,,2023-06-29,Gävle,769628-9656,STRÖMSBRO 52:6,Skolgatan 27,1000000,,998791,17241,,,2.0,58.0,2,2,False,False,False,lagenhet,1939,False,3314,686,,VD Pro
6b1922bd7e8a3fe2872dead7ac0913fb51342a60,2023-05-22,2023-04-14,2023-06-08,Gävle,769631-4751,ALDERHOLMEN 5:25,Kopragränd 3,1475000,1475000,1473217,31383,0,0.0,2.0,47.0,4,5,True,False,False,lagenhet,2019,False,4131,1055,38,VD Pro
f5f16fdf7b9396a24806df68175c868f44a5f24f,2023-05-22,2023-04-28,2023-07-31,Gävle,785000-1764,SÖDER 45:4,Sofiaplan 19 A,2140000,2150000,2137414,26750,-10000,-0.46,4.0,80.0,15,3,False,True,True,lagenhet,1955,False,4338,651,24,VD Pro
04496068d0582c2083766d81a530e35bad5a6b91,2023-05-19,2023-04-17,2023-07-05,Gävle,716413-4251,BJÖRSJÖ 28:1,Hövdingavägen 47 A,1500000,1595000,1477296,18868,-95000,-5.95,3.0,79.5,,,False,False,False,radhus,1982,False,5286,798,32,VD Pro
e7f98b8836a3fdc0f185333140ec168628b5282d,2023-05-19,2023-05-12,2023-09-03,Gävle,769630-8563,VÄSTER 19:6,Skomakargatan 22 A,2330000,2195000,2327184,25326,135000,6.15,3.0,92.0,1,3,False,True,False,lagenhet,,False,5310,693,7,VD Pro
562a72765580f3151b6bc6eed0a09863afb80584,2023-05-19,2023-05-19,2023-07-27,Gävle,785000-2085,SÖDER 48:5,Södra Kansligatan 26,950000,895000,948852,27536,55000,6.14,1.0,34.5,6,6,True,True,True,lagenhet,1957,False,1920,668,0,VD Pro
